"","CU_name","Return.Year","TribDeme","Estimate"
"1432","North Thompson",1996,"E Barriere R",41
"1433","North Thompson",1996,"Fennell Cr",454
"1434","North Thompson",1996,"Finn Cr",92
"1435","North Thompson",1996,"Haggard Cr",6
"1436","North Thompson",1996,"Harper Cr",4
"1437","North Thompson",1996,"Lemieux Cr",188
"1438","North Thompson",1996,"Lindquist Cr",3
"1439","North Thompson",1996,"Louis Cr",284
"1440","North Thompson",1996,"Lyon Cr",2072
"1441","North Thompson",1996,"Mann Cr",83
"1442","North Thompson",1996,"N Thompson R (mid)",381
"1443","North Thompson",1996,"N Thompson R (upr)",108
"1444","North Thompson",1996,"Paul Cr",4
"1445","North Thompson",1996,"Peterson Cr",2
"1446","North Thompson",1996,"Pig Channel",128
"1447","North Thompson",1996,"Raft R",62
"1448","North Thompson",1996,"Reg Christie Cr",83
"1449","North Thompson",1996,"Saskum Cr",6
"1450","North Thompson",1996,"Shannon Cr",21
"1451","North Thompson",1996,"Tumtum Cr",23
"1452","North Thompson",1996,"Wire Cache Cr",41
"1453","North Thompson",1997,"Albreda R",806
"1454","North Thompson",1997,"Avola Cr",83
"1455","North Thompson",1997,"Barriere R",590
"1456","North Thompson",1997,"Barriere R (lwr)",NA
"1457","North Thompson",1997,"Barriere R (upr)",NA
"1458","North Thompson",1997,"Birch Island Channel",71
"1459","North Thompson",1997,"Blue R",619
"1460","North Thompson",1997,"Cedar Cr",52
"1461","North Thompson",1997,"Cook Cr",130
"1462","North Thompson",1997,"Darlington Cr",3
"1463","North Thompson",1997,"Dunn Cr",335
"1464","North Thompson",1997,"E Barriere R",119
"1465","North Thompson",1997,"Fennell Cr",643
"1466","North Thompson",1997,"Finn Cr",130
"1467","North Thompson",1997,"Haggard Cr",9
"1468","North Thompson",1997,"Harper Cr",6
"1469","North Thompson",1997,"Lemieux Cr",525
"1470","North Thompson",1997,"Lindquist Cr",4
"1471","North Thompson",1997,"Louis Cr",193
"1472","North Thompson",1997,"Lyon Cr",2279
"1473","North Thompson",1997,"Mann Cr",79
"1474","North Thompson",1997,"N Thompson R (mid)",829
"1475","North Thompson",1997,"N Thompson R (upr)",152
"1476","North Thompson",1997,"Paul Cr",6
"1477","North Thompson",1997,"Peterson Cr",3
"1478","North Thompson",1997,"Pig Channel",182
"1479","North Thompson",1997,"Raft R",248
"1480","North Thompson",1997,"Reg Christie Cr",124
"1481","North Thompson",1997,"Saskum Cr",9
"1482","North Thompson",1997,"Shannon Cr",41
"1483","North Thompson",1997,"Tumtum Cr",166
"1484","North Thompson",1997,"Wire Cache Cr",83
"1485","North Thompson",1998,"Albreda R",14
"1486","North Thompson",1998,"Avola Cr",88
"1487","North Thompson",1998,"Barriere R",404
"1488","North Thompson",1998,"Barriere R (lwr)",NA
"1489","North Thompson",1998,"Barriere R (upr)",NA
"1490","North Thompson",1998,"Birch Island Channel",40
"1491","North Thompson",1998,"Blue R",494
"1492","North Thompson",1998,"Cedar Cr",9
"1493","North Thompson",1998,"Cook Cr",231
"1494","North Thompson",1998,"Darlington Cr",5
"1495","North Thompson",1998,"Dunn Cr",962
"1496","North Thompson",1998,"E Barriere R",99
"1497","North Thompson",1998,"Fennell Cr",2614
"1498","North Thompson",1998,"Finn Cr",35
"1499","North Thompson",1998,"Haggard Cr",5
"1500","North Thompson",1998,"Harper Cr",10
"1501","North Thompson",1998,"Lemieux Cr",605
"1502","North Thompson",1998,"Lindquist Cr",6
"1503","North Thompson",1998,"Louis Cr",195
"1504","North Thompson",1998,"Lyon Cr",2299
"1505","North Thompson",1998,"Mann Cr",245
"1506","North Thompson",1998,"N Thompson R (mid)",234
"1507","North Thompson",1998,"N Thompson R (upr)",248
"1508","North Thompson",1998,"Paul Cr",9
"1509","North Thompson",1998,"Peterson Cr",5
"1510","North Thompson",1998,"Pig Channel",168
"1511","North Thompson",1998,"Raft R",603
"1512","North Thompson",1998,"Reg Christie Cr",90
"1513","North Thompson",1998,"Saskum Cr",14
"1514","North Thompson",1998,"Shannon Cr",16
"1515","North Thompson",1998,"Tumtum Cr",21
"1516","North Thompson",1998,"Wire Cache Cr",18
"1517","North Thompson",1999,"Albreda R",445
"1518","North Thompson",1999,"Avola Cr",169
"1519","North Thompson",1999,"Barriere R",1186
"1520","North Thompson",1999,"Barriere R (lwr)",NA
"1521","North Thompson",1999,"Barriere R (upr)",NA
"1522","North Thompson",1999,"Birch Island Channel",71
"1523","North Thompson",1999,"Blue R",200
"1524","North Thompson",1999,"Cedar Cr",10
"1525","North Thompson",1999,"Cook Cr",248
"1526","North Thompson",1999,"Darlington Cr",NA
"1527","North Thompson",1999,"Dunn Cr",668
"1528","North Thompson",1999,"E Barriere R",4
"1529","North Thompson",1999,"Fennell Cr",1745
"1530","North Thompson",1999,"Finn Cr",109
"1531","North Thompson",1999,"Haggard Cr",6
"1532","North Thompson",1999,"Harper Cr",10
"1533","North Thompson",1999,"Lemieux Cr",460
"1534","North Thompson",1999,"Lindquist Cr",7
"1535","North Thompson",1999,"Louis Cr",514
"1536","North Thompson",1999,"Lyon Cr",2640
"1537","North Thompson",1999,"Mann Cr",105
"1538","North Thompson",1999,"N Thompson R (mid)",594
"1539","North Thompson",1999,"N Thompson R (upr)",266
"1540","North Thompson",1999,"Paul Cr",10
"1541","North Thompson",1999,"Peterson Cr",NA
"1542","North Thompson",1999,"Pig Channel",537
"1543","North Thompson",1999,"Raft R",324
"1544","North Thompson",1999,"Reg Christie Cr",205
"1545","North Thompson",1999,"Saskum Cr",14
"1546","North Thompson",1999,"Shannon Cr",7
"1547","North Thompson",1999,"Tumtum Cr",65
"1548","North Thompson",1999,"Wire Cache Cr",77
"1549","North Thompson",2000,"Albreda R",20
"1550","North Thompson",2000,"Avola Cr",41
"1551","North Thompson",2000,"Barriere R",543
"1552","North Thompson",2000,"Barriere R (lwr)",NA
"1553","North Thompson",2000,"Barriere R (upr)",NA
"1554","North Thompson",2000,"Birch Island Channel",110
"1555","North Thompson",2000,"Blue R",163
"1556","North Thompson",2000,"Cedar Cr",7
"1557","North Thompson",2000,"Cook Cr",188
"1558","North Thompson",2000,"Darlington Cr",12
"1559","North Thompson",2000,"Dunn Cr",2514
"1560","North Thompson",2000,"E Barriere R",2
"1561","North Thompson",2000,"Fennell Cr",833
"1562","North Thompson",2000,"Finn Cr",5
"1563","North Thompson",2000,"Haggard Cr",NA
"1564","North Thompson",2000,"Harper Cr",8
"1565","North Thompson",2000,"Lemieux Cr",1308
"1566","North Thompson",2000,"Lindquist Cr",6
"1567","North Thompson",2000,"Louis Cr",462
"1568","North Thompson",2000,"Lyon Cr",662
"1569","North Thompson",2000,"Mann Cr",55
"1570","North Thompson",2000,"N Thompson R (mid)",404
"1571","North Thompson",2000,"N Thompson R (upr)",202
"1572","North Thompson",2000,"Paul Cr",8
"1573","North Thompson",2000,"Peterson Cr",4
"1574","North Thompson",2000,"Pig Channel",279
"1575","North Thompson",2000,"Raft R",106
"1576","North Thompson",2000,"Reg Christie Cr",85
"1577","North Thompson",2000,"Saskum Cr",13
"1578","North Thompson",2000,"Shannon Cr",13
"1579","North Thompson",2000,"Tumtum Cr",NA
"1580","North Thompson",2000,"Wire Cache Cr",2
"1581","North Thompson",2001,"Albreda R",1710
"1582","North Thompson",2001,"Avola Cr",60
"1583","North Thompson",2001,"Barriere R",2040
"1584","North Thompson",2001,"Barriere R (lwr)",NA
"1585","North Thompson",2001,"Barriere R (upr)",NA
"1586","North Thompson",2001,"Birch Island Channel",990
"1587","North Thompson",2001,"Blue R",2469
"1588","North Thompson",2001,"Cedar Cr",19
"1589","North Thompson",2001,"Cook Cr",133
"1590","North Thompson",2001,"Darlington Cr",58
"1591","North Thompson",2001,"Dunn Cr",3316
"1592","North Thompson",2001,"E Barriere R",41
"1593","North Thompson",2001,"Fennell Cr",2707
"1594","North Thompson",2001,"Finn Cr",157
"1595","North Thompson",2001,"Haggard Cr",25
"1596","North Thompson",2001,"Harper Cr",NA
"1597","North Thompson",2001,"Lemieux Cr",2405
"1598","North Thompson",2001,"Lindquist Cr",67
"1599","North Thompson",2001,"Louis Cr",1455
"1600","North Thompson",2001,"Lyon Cr",1448
"1601","North Thompson",2001,"Mann Cr",176
"1602","North Thompson",2001,"N Thompson R (mid)",672
"1603","North Thompson",2001,"N Thompson R (upr)",673
"1604","North Thompson",2001,"Paul Cr",25
"1605","North Thompson",2001,"Peterson Cr",46
"1606","North Thompson",2001,"Pig Channel",1369
"1607","North Thompson",2001,"Raft R",4099
"1608","North Thompson",2001,"Reg Christie Cr",906
"1609","North Thompson",2001,"Saskum Cr",88
"1610","North Thompson",2001,"Shannon Cr",44
"1611","North Thompson",2001,"Tumtum Cr",39
"1612","North Thompson",2001,"Wire Cache Cr",NA
"1613","North Thompson",2002,"Albreda R",1058
"1614","North Thompson",2002,"Avola Cr",124
"1615","North Thompson",2002,"Barriere R",1704
"1616","North Thompson",2002,"Barriere R (lwr)",NA
"1617","North Thompson",2002,"Barriere R (upr)",NA
"1618","North Thompson",2002,"Birch Island Channel",290
"1619","North Thompson",2002,"Blue R",2972
"1620","North Thompson",2002,"Cedar Cr",25
"1621","North Thompson",2002,"Cook Cr",109
"1622","North Thompson",2002,"Darlington Cr",NA
"1623","North Thompson",2002,"Dunn Cr",4477
"1624","North Thompson",2002,"E Barriere R",16
"1625","North Thompson",2002,"Fennell Cr",1948
"1626","North Thompson",2002,"Finn Cr",108
"1627","North Thompson",2002,"Haggard Cr",14
"1628","North Thompson",2002,"Harper Cr",52
"1629","North Thompson",2002,"Lemieux Cr",1602
"1630","North Thompson",2002,"Lindquist Cr",10
"1631","North Thompson",2002,"Louis Cr",1885
"1632","North Thompson",2002,"Lyon Cr",605
"1633","North Thompson",2002,"Mann Cr",301
"1634","North Thompson",2002,"N Thompson R (mid)",681
"1635","North Thompson",2002,"N Thompson R (upr)",213
"1636","North Thompson",2002,"Paul Cr",49
"1637","North Thompson",2002,"Peterson Cr",11
"1638","North Thompson",2002,"Pig Channel",767
"1639","North Thompson",2002,"Raft R",2845
"1640","North Thompson",2002,"Reg Christie Cr",24
"1641","North Thompson",2002,"Saskum Cr",81
"1642","North Thompson",2002,"Shannon Cr",36
"1643","North Thompson",2002,"Tumtum Cr",21
"1644","North Thompson",2002,"Wire Cache Cr",55
"1645","North Thompson",2003,"Albreda R",366
"1646","North Thompson",2003,"Avola Cr",17
"1647","North Thompson",2003,"Barriere R",363
"1648","North Thompson",2003,"Barriere R (lwr)",NA
"1649","North Thompson",2003,"Barriere R (upr)",NA
"1650","North Thompson",2003,"Birch Island Channel",37
"1651","North Thompson",2003,"Blue R",295
"1652","North Thompson",2003,"Cedar Cr",5
"1653","North Thompson",2003,"Cook Cr",77
"1654","North Thompson",2003,"Darlington Cr",NA
"1655","North Thompson",2003,"Dunn Cr",2286
"1656","North Thompson",2003,"E Barriere R",8
"1657","North Thompson",2003,"Fennell Cr",167
"1658","North Thompson",2003,"Finn Cr",119
"1659","North Thompson",2003,"Haggard Cr",28
"1660","North Thompson",2003,"Harper Cr",7
"1661","North Thompson",2003,"Lemieux Cr",129
"1662","North Thompson",2003,"Lindquist Cr",NA
"1663","North Thompson",2003,"Louis Cr",1005
"1664","North Thompson",2003,"Lyon Cr",1595
"1665","North Thompson",2003,"Mann Cr",20
"1666","North Thompson",2003,"N Thompson R (mid)",225
"1667","North Thompson",2003,"N Thompson R (upr)",182
"1668","North Thompson",2003,"Paul Cr",25
"1669","North Thompson",2003,"Peterson Cr",4
"1670","North Thompson",2003,"Pig Channel",39
"1671","North Thompson",2003,"Raft R",88
"1672","North Thompson",2003,"Reg Christie Cr",56
"1673","North Thompson",2003,"Saskum Cr",3
"1674","North Thompson",2003,"Shannon Cr",7
"1675","North Thompson",2003,"Tumtum Cr",39
"1676","North Thompson",2003,"Wire Cache Cr",19
"1677","North Thompson",2004,"Albreda R",881
"1678","North Thompson",2004,"Avola Cr",124
"1679","North Thompson",2004,"Barriere R",390
"1680","North Thompson",2004,"Barriere R (lwr)",NA
"1681","North Thompson",2004,"Barriere R (upr)",NA
"1682","North Thompson",2004,"Birch Island Channel",89
"1683","North Thompson",2004,"Blue R",1921
"1684","North Thompson",2004,"Cedar Cr",10
"1685","North Thompson",2004,"Cook Cr",288
"1686","North Thompson",2004,"Darlington Cr",10
"1687","North Thompson",2004,"Dunn Cr",1402
"1688","North Thompson",2004,"E Barriere R",2
"1689","North Thompson",2004,"Fennell Cr",571
"1690","North Thompson",2004,"Finn Cr",144
"1691","North Thompson",2004,"Haggard Cr",NA
"1692","North Thompson",2004,"Harper Cr",2
"1693","North Thompson",2004,"Lemieux Cr",842
"1694","North Thompson",2004,"Lindquist Cr",7
"1695","North Thompson",2004,"Louis Cr",1113
"1696","North Thompson",2004,"Lyon Cr",1606
"1697","North Thompson",2004,"Mann Cr",7
"1698","North Thompson",2004,"N Thompson R (mid)",135
"1699","North Thompson",2004,"N Thompson R (upr)",312
